config_id,run,rmse_initial,rmse_final,rmse_gen200,rmse_gen400,rmse_gen600,rmse_gen800,elapsed_sec
sel_tournament_k5__xo_two_point__mut_random_reset,1,82.3506,51.7344,54.0656,52.2249,51.8763,51.7344,80.0
sel_tournament_k5__xo_two_point__mut_random_reset,2,95.7,49.9201,53.5891,51.5511,50.6313,49.9201,79.2
sel_tournament_k5__xo_two_point__mut_random_reset,3,90.2689,48.7539,54.4321,51.4306,50.3052,48.7539,79.2
sel_tournament_k5__xo_two_point__mut_random_reset,4,94.6636,48.5967,53.8326,50.9141,49.2551,48.5967,79.5
sel_tournament_k5__xo_two_point__mut_random_reset,5,98.7855,51.7664,54.5322,53.2726,52.4076,51.7664,79.8
sel_tournament_k5__xo_two_point__mut_random_reset,6,95.8534,52.4961,55.6205,54.3461,52.9785,52.4961,78.7
sel_tournament_k5__xo_two_point__mut_random_reset,7,92.7206,51.8938,55.7866,53.0933,52.1746,51.8938,78.2
sel_tournament_k5__xo_two_point__mut_random_reset,8,96.8022,49.2437,51.975,50.3971,49.3435,49.2437,79.4
sel_tournament_k5__xo_two_point__mut_random_reset,9,103.3948,53.9681,55.7198,54.5491,54.0622,53.9681,79.3
sel_tournament_k5__xo_two_point__mut_random_reset,10,107.2609,52.7201,55.2823,53.9965,53.1171,52.7201,79.2
sel_tournament_k5__xo_uniform__mut_gaussian,1,96.304,37.9095,40.3438,38.5532,38.0569,37.9095,83.3
sel_tournament_k5__xo_uniform__mut_gaussian,2,96.3885,37.4216,43.4625,38.7833,37.8381,37.4216,81.9
sel_tournament_k5__xo_uniform__mut_gaussian,3,86.3622,40.2209,43.1415,41.4568,40.7389,40.2209,82.7
sel_tournament_k5__xo_uniform__mut_gaussian,4,95.5647,34.4096,37.9923,36.1993,34.8964,34.4096,83.6
sel_tournament_k5__xo_uniform__mut_gaussian,5,99.2726,41.1856,48.6223,44.6035,42.0186,41.1856,84.5
sel_tournament_k5__xo_uniform__mut_gaussian,6,80.7879,37.9928,42.6584,40.1703,38.7527,37.9928,84.4
sel_tournament_k5__xo_uniform__mut_gaussian,7,84.1473,36.5383,39.0716,36.9119,36.6471,36.5383,82.7
sel_tournament_k5__xo_uniform__mut_gaussian,8,91.0762,39.283,42.4864,40.7146,39.5706,39.283,84.3
sel_tournament_k5__xo_uniform__mut_gaussian,9,95.3646,38.864,41.2311,39.7921,39.2157,38.864,85.4
sel_tournament_k5__xo_uniform__mut_gaussian,10,98.6451,37.3882,41.6712,40.2948,38.8618,37.3882,83.8
sel_tournament_k5__xo_uniform__mut_random_reset,1,96.7937,48.8216,54.0403,50.0067,49.0446,48.8216,80.2
sel_tournament_k5__xo_uniform__mut_random_reset,2,93.2814,50.1949,52.1138,51.1553,50.6576,50.1949,80.5
sel_tournament_k5__xo_uniform__mut_random_reset,3,96.2631,52.5114,55.3332,53.7481,52.6844,52.5114,78.5
sel_tournament_k5__xo_uniform__mut_random_reset,4,98.5596,55.8497,57.341,56.3159,55.9724,55.8497,81.0
sel_tournament_k5__xo_uniform__mut_random_reset,5,86.6619,50.0777,53.9262,52.1011,51.7009,50.0777,79.6
sel_tournament_k5__xo_uniform__mut_random_reset,6,85.8751,52.458,57.2932,54.9993,54.6763,52.458,80.3
sel_tournament_k5__xo_uniform__mut_random_reset,7,95.722,50.9306,54.4377,51.8983,51.5099,50.9306,79.1
sel_tournament_k5__xo_uniform__mut_random_reset,8,97.5608,50.7134,52.7305,51.8256,50.8363,50.7134,79.8
sel_tournament_k5__xo_uniform__mut_random_reset,9,92.3834,51.6774,53.4172,52.1615,51.9673,51.6774,79.3
sel_tournament_k5__xo_uniform__mut_random_reset,10,87.2661,52.6651,54.8843,53.9858,53.359,52.6651,80.1
